iter	Logloss
0	0.6889536154
1	0.6848086024
2	0.6810918571
3	0.6773916317
4	0.6740471847
5	0.6708610958
6	0.6676043674
7	0.6647309076
8	0.6619238281
9	0.6592178466
10	0.6564574012
11	0.6542397439
12	0.6520806804
13	0.6499976339
14	0.648042745
15	0.6459932114
16	0.6441645013
17	0.6424442456
18	0.6409385325
19	0.6393574907
20	0.6375408263
21	0.6360818764
22	0.6345727647
23	0.6332756574
24	0.632077798
25	0.6307298837
26	0.629598749
27	0.6284592683
28	0.6271130317
29	0.6260259929
30	0.624890169
31	0.6238516141
32	0.6229111457
33	0.6217495956
34	0.6206958976
35	0.6197685074
36	0.6187940529
37	0.6179663839
38	0.6172346503
39	0.616332255
40	0.6154534347
41	0.6147659261
42	0.6141011323
43	0.6134539768
44	0.6128566819
45	0.612219163
46	0.6116557682
47	0.6109919208
48	0.6104725788
49	0.6098715842
50	0.6092979935
51	0.6088141434
52	0.6083218182
53	0.6078658883
54	0.6073641847
55	0.6068427777
56	0.6061730366
57	0.6057553948
58	0.6051342666
59	0.604603008
60	0.60399285
61	0.6035564083
62	0.6032007589
63	0.6027355366
64	0.6022148179
65	0.6018228593
66	0.6014361922
67	0.601087469
68	0.6007684299
69	0.6004592425
70	0.6001713932
71	0.5997038908
72	0.5994150089
73	0.5990852148
74	0.5987554206
75	0.5983949959
76	0.5980524676
77	0.5977690494
78	0.5975159175
79	0.5971686141
80	0.5967692129
81	0.5965105314
82	0.5962241878
83	0.5959556976
84	0.595730486
85	0.5954682768
86	0.5951793089
87	0.5947818437
88	0.5944681821
89	0.5942734719
90	0.5940279546
91	0.5938216719
92	0.5935154959
93	0.5932367239
94	0.5930456274
95	0.5928344404
96	0.5926164131
97	0.592305677
98	0.5921447377
99	0.5919406061
100	0.5916986595
101	0.5913982912
102	0.5911593991
103	0.5908960284
104	0.5906979626
105	0.5905238161
106	0.5902191028
107	0.5899568075
108	0.5898081722
109	0.5896460284
110	0.5894592339
111	0.5892724394
112	0.5891268155
113	0.5889599394
114	0.5887726717
115	0.5885968905
116	0.5884236474
117	0.5883073634
118	0.5880898524
119	0.5879049938
120	0.5877159193
121	0.5875087762
122	0.5873675403
123	0.5872361991
124	0.5871119992
125	0.5869459406
126	0.5868115449
127	0.5866518963
128	0.5865058852
129	0.5863690804
130	0.5862117549
131	0.5860839844
132	0.5859287238
133	0.585812956
134	0.5856929722
135	0.5855754405
136	0.5854446586
137	0.5852313206
138	0.5850748124
139	0.5849581412
140	0.584848009
141	0.5846254646
142	0.5845130524
143	0.5844083408
144	0.5842875396
145	0.5841754285
146	0.5840019703
147	0.5838634447
148	0.5837686278
149	0.583625327
150	0.5834216255
151	0.5832945003
152	0.5832029959
153	0.5830670085
154	0.5828981966
155	0.5827984754
156	0.5827037015
157	0.582616112
158	0.5825107981
159	0.5824288443
160	0.5822947068
161	0.5821698186
162	0.5820802502
163	0.5819618151
164	0.5818599429
165	0.5817868943
166	0.5816759877
167	0.5815189634
168	0.5814361922
169	0.581290052
170	0.5811763921
171	0.5811015367
172	0.5810314995
173	0.580962839
174	0.5808817026
175	0.5808040938
176	0.5807149986
177	0.5805648145
178	0.5804905613
179	0.58042018
180	0.5803417969
181	0.5802704691
182	0.5801276415
183	0.5800178104
184	0.5799399866
185	0.579803569
186	0.5797348654
187	0.5796849618
188	0.5796259378
189	0.5795465653
190	0.579465773
191	0.5793000155
192	0.5792020151
193	0.5790727819
194	0.5789914303
195	0.5788539372
196	0.5787911275
197	0.5787024625
198	0.5786527309
199	0.5784921359
200	0.5784233033
201	0.5783527929
202	0.5782609014
203	0.5782083735
204	0.5780888629
205	0.5780309144
206	0.5779724928
207	0.5778664045
208	0.577763973
209	0.577700647
210	0.5776411498
211	0.5775817817
212	0.5774996989
213	0.577413443
214	0.5772815856
215	0.5772354677
216	0.5771585043
217	0.5770939307
218	0.5770361113
219	0.5769766571
220	0.5769110081
221	0.5768398093
222	0.5767899057
223	0.5767209871
224	0.5766414424
225	0.5765738144
226	0.5764515505
227	0.5763654667
228	0.5762556787
229	0.5761397388
230	0.5760477182
231	0.5759849945
232	0.5759285518
233	0.5758849721
234	0.575823453
235	0.575772775
236	0.5756974893
237	0.575639885
238	0.5755329794
239	0.5754480142
240	0.5753862799
241	0.5752543795
242	0.5752017225
243	0.5751494958
244	0.5751050988
245	0.575063326
246	0.5749389541
247	0.5748809196
248	0.5748400502
249	0.5747301332
250	0.5746738625
251	0.5746343268
252	0.5745952643
253	0.5745321534
254	0.574499501
255	0.5744381969
256	0.5743819263
257	0.5743321517
258	0.574279925
259	0.5742246008
260	0.5741549508
261	0.5740938188
262	0.573988677
263	0.5739398919
264	0.573845075
265	0.5737891485
266	0.573733136
267	0.5736699391
268	0.5735945674
269	0.5735461695
270	0.5735112369
271	0.5734623228
272	0.5733380369
273	0.5732577609
274	0.5732001996
275	0.5731519308
276	0.5730772474
277	0.5729779564
278	0.5729407868
279	0.5728636942
280	0.5727987335
281	0.5727532179
282	0.572694237
283	0.5726421393
284	0.5726102182
285	0.5725672408
286	0.5725272749
287	0.5724839534
288	0.5724463966
289	0.572400666
290	0.57237537
291	0.5723107964
292	0.5722294449
293	0.5721743358
294	0.5721479213
295	0.5720532334
296	0.5720177846
297	0.5719817335
298	0.5719374656
299	0.5718949615
300	0.5718360235
301	0.5717891313
302	0.5717303655
303	0.5716875602
304	0.5715950664
305	0.571560349
306	0.5715092408
307	0.5714367084
308	0.571357594
309	0.5712914286
310	0.5712063773
311	0.5711554842
312	0.5710898782
313	0.5710139902
314	0.5709717442
315	0.570880412
316	0.5708328744
317	0.5707978559
318	0.5707689892
319	0.570728378
320	0.5706984788
321	0.5706589861
322	0.5706219456
323	0.5705855073
324	0.5705037256
325	0.570454037
326	0.5704276225
327	0.5703719111
328	0.5703283315
329	0.5703044982
330	0.5702720608
331	0.5702206945
332	0.570185805
333	0.5701172735
334	0.5700770495
335	0.569961927
336	0.5698931804
337	0.5698657334
338	0.5698114417
339	0.5697728954
340	0.5697373176
341	0.5697088381
342	0.5696742497
343	0.5696203022
344	0.569554438
345	0.5695047925
346	0.5694126858
347	0.5693592545
348	0.5693259998
349	0.5692538546
350	0.5692025313
351	0.569170137
352	0.5691256539
353	0.5690927003
354	0.5690518309
355	0.5690176728
356	0.5689815357
357	0.5689426883
358	0.5689067232
359	0.5688754474
360	0.5688230056
361	0.5687682406
362	0.5687188102
363	0.5686969989
364	0.5686159485
365	0.5685772732
366	0.5685195829
367	0.5684781543
368	0.5684338433
369	0.5684087624
370	0.568367721
371	0.5683490501
372	0.5683282282
373	0.5682821534
374	0.5682504474
375	0.5682237318
376	0.5681934884
377	0.5681410466
378	0.5681131694
379	0.5680711385
380	0.5680409382
381	0.5679973585
382	0.5679741275
383	0.5679300747
384	0.5678963897
385	0.5678684695
386	0.567814608
387	0.5677863006
388	0.5677502495
389	0.5676975496
390	0.5676482482
391	0.567630954
392	0.5675798028
393	0.5675452574
394	0.5675045171
395	0.5674632606
396	0.567426005
397	0.5673904701
398	0.5673421152
399	0.5673028806
400	0.5672565047
401	0.5671704639
402	0.5671361337
403	0.5670938446
404	0.567020796
405	0.566980658
406	0.5669439617
407	0.5668616207
408	0.5668125344
409	0.5667784193
410	0.5667289888
411	0.5667003373
412	0.5666436364
413	0.566613178
414	0.5665643929
415	0.5665302347
416	0.566494958
417	0.5664616172
418	0.5664362782
419	0.5663684351
420	0.5663379336
421	0.5662870836
422	0.5662512046
423	0.5661763921
424	0.566138018
425	0.5660672494
426	0.5660439754
427	0.5660157541
428	0.5659836178
429	0.5659499759
430	0.5659259275
431	0.5658611819
432	0.5658368323
433	0.5658176452
434	0.5657832289
435	0.5657409399
436	0.5657035982
437	0.565684153
438	0.5656564049
439	0.5656194074
440	0.5655871421
441	0.565549069
442	0.5655118134
443	0.5654843664
444	0.5654563171
445	0.5654284829
446	0.565403359
447	0.5653449804
448	0.5652825578
449	0.5652313636
450	0.565200561
451	0.5651643809
452	0.5651111646
453	0.5650871593
454	0.565059196
455	0.5649840394
456	0.5649546565
457	0.5649294036
458	0.5648889644
459	0.5648417711
460	0.5648139799
461	0.5647940615
462	0.5647620543
463	0.5647291007
464	0.5646898231
465	0.5646644841
466	0.5646474911
467	0.5646078263
468	0.5645765935
469	0.5645399831
470	0.5645090515
471	0.5644776466
472	0.5644452523
473	0.564410836
474	0.5643886805
475	0.5643675575
476	0.5643444986
477	0.5642945949
478	0.5642669758
479	0.5642479178
480	0.5642204278
481	0.5641894531
482	0.5641497453
483	0.5641140384
484	0.5640781164
485	0.5640353541
486	0.5640084664
487	0.5639845901
488	0.5639439358
489	0.5639124449
490	0.5638878803
491	0.5638495061
492	0.5638167676
493	0.5637904392
494	0.5637697464
495	0.5637167453
496	0.563686674
497	0.5636584957
498	0.5636122918
499	0.5635879422
500	0.5635616138
501	0.5635372642
502	0.5635083546
503	0.5634762614
504	0.5634550523
505	0.5634272612
506	0.5633963725
507	0.5633682802
508	0.5633236251
509	0.5632735494
510	0.5632508346
511	0.5632344008
512	0.5631886702
513	0.5631636753
514	0.5631399711
515	0.5631050816
516	0.5630727733
517	0.5630444228
518	0.5630240742
519	0.5629870767
520	0.5629528755
521	0.5629261598
522	0.5628839999
523	0.562865286
524	0.5628217494
525	0.5627822137
526	0.5627459045
527	0.5627214259
528	0.5626799972
529	0.562654056
530	0.5626307389
531	0.5626027327
532	0.5625783831
533	0.56254444
534	0.5624982792
535	0.5624710473
536	0.562445192
537	0.5624062586
538	0.562375413
539	0.5623428036
540	0.5623171204
541	0.5622774556
542	0.5622395977
543	0.5622098276
544	0.5621803156
545	0.5621553208
546	0.5621318747
547	0.5620975014
548	0.5620753889
549	0.5620350788
550	0.5620089224
551	0.5619787221
552	0.5619449081
553	0.5619033934
554	0.561864503
555	0.5618447567
556	0.5618114589
557	0.5617857757
558	0.5617579846
