iter	Passed	Remaining
0	12	12129
1	23	11512
2	33	11169
3	44	11090
4	54	10839
5	65	10853
6	76	10850
7	88	10915
8	99	10939
9	110	10912
10	120	10833
11	130	10757
12	140	10691
13	150	10611
14	160	10566
15	171	10522
16	181	10479
17	190	10409
18	201	10386
19	211	10352
20	222	10358
21	232	10351
22	243	10344
23	253	10312
24	263	10295
25	274	10277
26	284	10264
27	295	10263
28	305	10242
29	315	10207
30	325	10184
31	335	10156
32	345	10137
33	355	10109
34	365	10078
35	375	10056
36	385	10036
37	396	10025
38	405	10000
39	415	9981
40	425	9957
41	435	9942
42	445	9920
43	455	9906
44	465	9881
45	476	9872
46	486	9858
47	496	9855
48	507	9842
49	517	9837
50	527	9823
51	538	9817
52	549	9814
53	560	9820
54	571	9820
55	582	9826
56	593	9823
57	604	9818
58	616	9827
59	628	9842
60	639	9848
61	651	9858
62	663	9866
63	674	9858
64	684	9850
65	694	9833
66	705	9820
67	715	9810
68	726	9799
69	736	9787
70	747	9774
71	756	9755
72	766	9732
73	775	9709
74	785	9687
75	794	9664
76	804	9641
77	813	9620
78	823	9600
79	832	9578
80	842	9558
81	851	9537
82	861	9516
83	870	9497
84	880	9477
85	889	9458
86	899	9439
87	908	9420
88	918	9402
89	928	9386
90	937	9369
91	947	9350
92	956	9331
93	966	9312
94	975	9295
95	985	9276
96	994	9261
97	1004	9243
98	1013	9228
99	1023	9209
100	1032	9193
101	1042	9179
102	1052	9166
103	1063	9158
104	1073	9149
105	1083	9137
106	1094	9133
107	1104	9119
108	1113	9103
109	1123	9089
110	1133	9075
111	1142	9057
112	1151	9040
113	1161	9025
114	1171	9011
115	1180	8996
116	1189	8980
117	1199	8966
118	1209	8951
119	1218	8936
120	1227	8920
121	1237	8904
122	1246	8890
123	1256	8877
124	1265	8861
125	1275	8846
126	1286	8841
127	1295	8827
128	1305	8817
129	1315	8803
130	1324	8787
131	1334	8772
132	1343	8760
133	1353	8745
134	1362	8729
135	1372	8716
136	1381	8702
137	1390	8687
138	1400	8672
139	1409	8661
140	1419	8647
141	1428	8634
142	1438	8621
143	1448	8608
144	1457	8594
145	1467	8582
146	1476	8569
147	1486	8555
148	1495	8543
149	1505	8529
150	1514	8516
151	1523	8501
152	1533	8489
153	1542	8475
154	1552	8462
155	1561	8449
156	1571	8437
157	1581	8426
158	1590	8414
159	1600	8401
160	1609	8388
161	1619	8375
162	1628	8362
163	1637	8349
164	1647	8336
165	1656	8324
166	1666	8312
167	1676	8300
168	1685	8289
169	1695	8275
170	1704	8262
171	1714	8251
172	1723	8239
173	1732	8226
174	1742	8214
175	1752	8202
176	1761	8192
177	1771	8180
178	1781	8168
179	1790	8157
180	1800	8144
181	1809	8133
182	1818	8120
183	1828	8108
184	1837	8096
185	1847	8084
186	1856	8071
187	1866	8060
188	1876	8050
189	1885	8038
190	1894	8025
191	1904	8014
192	1914	8003
193	1923	7991
194	1933	7980
195	1942	7968
196	1952	7956
197	1961	7944
198	1971	7933
199	1980	7920
200	1989	7909
201	1999	7898
202	2008	7886
203	2017	7873
204	2027	7863
205	2037	7852
206	2046	7841
207	2056	7832
208	2067	7825
209	2077	7815
210	2087	7805
211	2097	7795
212	2107	7785
213	2116	7774
214	2126	7762
215	2135	7751
216	2144	7738
217	2154	7728
218	2164	7718
219	2174	7708
220	2183	7698
221	2193	7688
222	2203	7677
223	2213	7668
224	2223	7657
225	2232	7646
226	2242	7636
227	2252	7627
228	2262	7615
229	2271	7605
230	2282	7599
231	2293	7591
232	2303	7584
233	2313	7574
234	2324	7565
235	2334	7555
236	2343	7545
237	2353	7533
238	2362	7522
239	2372	7512
240	2382	7501
241	2391	7490
242	2400	7479
243	2410	7468
244	2420	7457
245	2429	7446
246	2439	7435
247	2448	7424
248	2457	7412
249	2467	7402
250	2476	7391
251	2486	7381
252	2496	7371
253	2506	7360
254	2515	7349
255	2525	7338
256	2534	7328
257	2544	7317
258	2553	7306
259	2563	7295
260	2572	7285
261	2582	7274
262	2592	7264
263	2601	7252
264	2610	7241
265	2620	7230
266	2629	7219
267	2639	7209
268	2648	7198
269	2658	7187
270	2668	7177
271	2677	7166
272	2687	7155
273	2696	7144
274	2705	7133
275	2715	7122
276	2724	7111
277	2733	7100
278	2743	7089
279	2752	7078
280	2762	7067
281	2771	7056
282	2781	7046
283	2790	7035
284	2800	7025
285	2809	7014
286	2818	7003
287	2828	6992
288	2837	6981
289	2847	6970
290	2856	6959
291	2865	6948
292	2875	6937
293	2884	6927
294	2894	6916
295	2903	6906
296	2913	6896
297	2923	6885
298	2932	6875
299	2941	6863
300	2951	6853
301	2960	6842
302	2969	6831
303	2979	6820
304	2988	6810
305	2998	6800
306	3007	6789
307	3016	6778
308	3026	6768
309	3036	6757
310	3045	6747
311	3055	6738
312	3066	6729
313	3076	6720
314	3085	6710
315	3095	6700
316	3104	6689
317	3114	6679
318	3123	6668
319	3133	6657
320	3142	6647
321	3152	6637
322	3162	6627
323	3171	6617
324	3181	6607
325	3190	6596
326	3200	6586
327	3209	6576
328	3219	6565
329	3228	6554
330	3238	6544
331	3247	6533
332	3256	6523
333	3266	6512
334	3276	6503
335	3285	6493
336	3295	6483
337	3305	6473
338	3314	6462
339	3323	6451
340	3333	6441
341	3342	6430
342	3351	6419
343	3361	6409
344	3370	6399
345	3379	6388
346	3389	6377
347	3398	6367
348	3408	6357
349	3418	6347
350	3427	6337
351	3437	6327
352	3446	6317
353	3455	6306
354	3465	6296
355	3474	6285
356	3483	6274
357	3493	6264
358	3502	6253
359	3511	6243
360	3521	6232
361	3530	6222
362	3540	6212
363	3549	6202
364	3559	6191
365	3568	6181
366	3577	6170
367	3587	6160
368	3596	6150
369	3606	6140
370	3615	6130
371	3625	6120
372	3634	6109
373	3644	6099
374	3653	6089
375	3663	6079
376	3672	6069
377	3682	6059
378	3691	6048
379	3701	6038
380	3710	6028
381	3719	6018
382	3729	6008
383	3739	5998
384	3748	5988
385	3757	5977
386	3767	5967
387	3776	5957
388	3786	5947
389	3796	5938
390	3806	5928
391	3815	5917
392	3824	5907
393	3834	5897
394	3843	5887
395	3853	5877
396	3862	5866
397	3872	5856
398	3881	5846
399	3890	5836
400	3900	5826
401	3910	5816
402	3919	5806
403	3929	5796
404	3938	5786
405	3947	5775
406	3957	5765
407	3966	5755
408	3975	5745
409	3985	5735
410	3994	5725
411	4004	5715
412	4014	5705
413	4023	5695
414	4032	5685
415	4042	5675
416	4053	5666
417	4063	5657
418	4073	5648
419	4082	5638
420	4092	5628
421	4102	5618
422	4111	5608
423	4121	5598
424	4130	5588
425	4139	5577
426	4149	5568
427	4159	5558
428	4168	5548
429	4177	5538
430	4187	5528
431	4196	5518
432	4206	5508
433	4216	5498
434	4225	5488
435	4235	5478
436	4244	5468
437	4253	5458
438	4263	5448
439	4273	5438
440	4282	5428
441	4292	5418
442	4301	5408
443	4310	5398
444	4320	5388
445	4329	5378
446	4339	5368
447	4349	5359
448	4359	5350
449	4369	5340
450	4378	5330
451	4388	5320
452	4398	5311
453	4408	5301
454	4418	5292
455	4428	5282
456	4437	5273
457	4447	5263
458	4457	5253
459	4466	5243
460	4476	5233
461	4486	5224
462	4495	5214
463	4505	5204
464	4514	5193
465	4523	5183
466	4533	5174
467	4542	5163
468	4552	5154
469	4561	5143
470	4571	5134
471	4580	5124
472	4590	5114
473	4599	5104
474	4609	5094
475	4618	5084
476	4627	5074
477	4637	5064
478	4646	5054
479	4656	5044
480	4665	5034
481	4675	5024
482	4684	5014
483	4693	5004
484	4703	4994
485	4712	4984
486	4722	4974
487	4731	4964
488	4741	4954
489	4750	4944
490	4760	4934
491	4769	4924
492	4779	4915
493	4788	4905
494	4798	4895
495	4807	4885
496	4816	4875
497	4826	4865
498	4835	4855
499	4845	4845
500	4854	4835
501	4864	4825
