iter	Passed	Remaining
0	54	54477
1	95	47479
2	135	45190
3	175	43754
4	217	43358
5	261	43358
6	304	43150
7	350	43497
8	395	43511
9	439	43469
10	487	43797
11	538	44373
12	585	44480
13	630	44375
14	671	44065
15	716	44071
16	759	43928
17	802	43755
18	843	43533
19	883	43292
20	925	43129
21	972	43210
22	1014	43114
23	1059	43078
24	1099	42876
25	1138	42668
26	1178	42476
27	1220	42356
28	1261	42239
29	1305	42197
30	1348	42155
31	1390	42060
32	1431	41935
33	1473	41858
34	1514	41760
35	1554	41638
36	1597	41574
37	1637	41445
38	1676	41317
39	1718	41237
40	1762	41227
41	1806	41206
42	1847	41108
43	1889	41043
44	1928	40929
45	1969	40846
46	2011	40789
47	2054	40751
48	2097	40717
49	2140	40675
50	2182	40609
51	2229	40643
52	2272	40612
53	2315	40561
54	2355	40470
55	2397	40406
56	2437	40327
57	2476	40217
58	2516	40143
59	2558	40083
60	2600	40037
61	2644	40009
62	2685	39944
63	2727	39885
64	2765	39787
65	2807	39734
66	2852	39718
67	2892	39639
68	2932	39567
69	2974	39514
70	3015	39455
71	3057	39411
72	3100	39366
73	3139	39289
74	3179	39214
75	3220	39150
76	3258	39056
77	3298	38985
78	3336	38901
79	3376	38833
80	3418	38779
81	3457	38704
82	3495	38621
83	3537	38575
84	3578	38526
85	3619	38467
86	3661	38429
87	3704	38396
88	3746	38346
89	3786	38287
90	3828	38240
91	3868	38181
92	3904	38082
93	3943	38006
94	3982	37939
95	4022	37880
96	4063	37823
97	4104	37776
98	4145	37727
99	4187	37684
100	4228	37641
101	4269	37591
102	4310	37543
103	4351	37492
104	4392	37438
105	4431	37371
106	4467	37288
107	4506	37218
108	4545	37158
109	4586	37108
110	4623	37030
111	4662	36966
112	4703	36921
113	4739	36834
114	4776	36761
115	4817	36711
116	4854	36635
117	4894	36582
118	4934	36528
119	4975	36486
120	5015	36435
121	5054	36377
122	5093	36314
123	5131	36253
124	5170	36192
125	5209	36132
126	5248	36077
127	5287	36021
128	5327	35968
129	5366	35916
130	5405	35855
131	5444	35798
132	5483	35743
133	5522	35692
134	5563	35644
135	5602	35593
136	5641	35536
137	5680	35482
138	5719	35429
139	5759	35378
140	5798	35325
141	5837	35273
142	5874	35205
143	5915	35166
144	5952	35097
145	5988	35028
146	6026	34969
147	6068	34933
148	6109	34892
149	6148	34843
150	6188	34794
151	6228	34747
152	6266	34689
153	6308	34654
154	6354	34644
155	6395	34600
156	6436	34561
157	6477	34516
158	6516	34466
159	6555	34415
160	6595	34369
161	6633	34312
162	6671	34257
163	6710	34204
164	6750	34161
165	6788	34106
166	6826	34052
167	6868	34014
168	6906	33962
169	6946	33913
170	6987	33876
171	7026	33826
172	7067	33784
173	7107	33741
174	7147	33693
175	7186	33644
176	7224	33591
177	7264	33545
178	7302	33494
179	7341	33442
180	7382	33403
181	7421	33354
182	7460	33307
183	7498	33255
184	7536	33202
185	7576	33156
186	7616	33114
187	7655	33063
188	7694	33015
189	7733	32970
190	7770	32914
191	7809	32864
192	7847	32813
193	7884	32758
194	7923	32707
195	7963	32665
196	8000	32612
197	8038	32559
198	8076	32509
199	8115	32461
200	8155	32417
201	8195	32375
202	8235	32334
203	8275	32289
204	8315	32248
